Date,Parameter,Value
2020-01-25T12:00:00.0000000Z,wind_speed,3.6274016167886205
2020-01-25T15:00:00.0000000Z,wind_speed,3.3732820534133694
2020-01-25T18:00:00.0000000Z,wind_speed,2.548141301087976
2020-01-25T21:00:00.0000000Z,wind_speed,1.9719342712057164
2020-01-26T00:00:00.0000000Z,wind_speed,1.9963397247283798
2020-01-26T03:00:00.0000000Z,wind_speed,4.358192434084754
2020-01-26T06:00:00.0000000Z,wind_speed,5.4740512562889005
2020-01-26T09:00:00.0000000Z,wind_speed,7.513137809237418
2020-01-26T12:00:00.0000000Z,wind_speed,7.706914332461294
2020-01-26T15:00:00.0000000Z,wind_speed,6.767312820113671
2020-01-26T18:00:00.0000000Z,wind_speed,5.603332438427566
2020-01-26T21:00:00.0000000Z,wind_speed,4.003886845977293
2020-01-27T00:00:00.0000000Z,wind_speed,3.60939188697112
2020-01-27T03:00:00.0000000Z,wind_speed,5.3817485369151035
2020-01-27T06:00:00.0000000Z,wind_speed,7.014832888322664
2020-01-27T09:00:00.0000000Z,wind_speed,9.786759142845485
2020-01-27T12:00:00.0000000Z,wind_speed,10.025709305571983
2020-01-27T15:00:00.0000000Z,wind_speed,7.664553001310223
2020-01-27T18:00:00.0000000Z,wind_speed,5.907133272636171
2020-01-27T21:00:00.0000000Z,wind_speed,4.151519723128707
2020-01-28T00:00:00.0000000Z,wind_speed,2.8480260724020594
2020-01-28T03:00:00.0000000Z,wind_speed,1.3209357056232491
2020-01-28T06:00:00.0000000Z,wind_speed,0.5696218955858481
2020-01-28T09:00:00.0000000Z,wind_speed,2.1181678911889055
2020-01-28T12:00:00.0000000Z,wind_speed,2.3327609364090205
2020-01-28T15:00:00.0000000Z,wind_speed,3.413885990539921
2020-01-28T18:00:00.0000000Z,wind_speed,4.4623906305099545
2020-01-28T21:00:00.0000000Z,wind_speed,4.893235599237779
2020-01-29T00:00:00.0000000Z,wind_speed,5.360325518395687
2020-01-29T03:00:00.0000000Z,wind_speed,5.82179878079801
2020-01-29T06:00:00.0000000Z,wind_speed,6.048625823205847
2020-01-29T09:00:00.0000000Z,wind_speed,5.963270264207235
2020-01-29T12:00:00.0000000Z,wind_speed,5.496677686616011
2020-01-29T15:00:00.0000000Z,wind_speed,5.446389321380544
2020-01-29T18:00:00.0000000Z,wind_speed,5.874839112153236
2020-01-29T21:00:00.0000000Z,wind_speed,5.58389712848996
2020-01-30T00:00:00.0000000Z,wind_speed,5.598504757603601
2020-01-30T03:00:00.0000000Z,wind_speed,5.408320943111183
2020-01-30T06:00:00.0000000Z,wind_speed,5.106461901608771
2020-01-30T09:00:00.0000000Z,wind_speed,5.277166039887815
2020-01-30T12:00:00.0000000Z,wind_speed,5.316432099659149
2020-01-30T15:00:00.0000000Z,wind_speed,5.588611006591029
2020-01-30T18:00:00.0000000Z,wind_speed,5.800117376421469
2020-01-30T21:00:00.0000000Z,wind_speed,5.256168400454147
2020-01-31T00:00:00.0000000Z,wind_speed,5.286911612304849
2020-01-31T03:00:00.0000000Z,wind_speed,6.122204502069869
2020-01-31T06:00:00.0000000Z,wind_speed,7.14852467297009
2020-01-31T09:00:00.0000000Z,wind_speed,7.886781137127362
2020-01-31T12:00:00.0000000Z,wind_speed,6.938108512244494
2020-01-31T15:00:00.0000000Z,wind_speed,5.963518979632362
2020-01-31T18:00:00.0000000Z,wind_speed,5.146542270544402
2020-01-31T21:00:00.0000000Z,wind_speed,4.181147565975548
2020-02-01T00:00:00.0000000Z,wind_speed,3.117821134425878
2020-02-01T03:00:00.0000000Z,wind_speed,2.1982302621768017
2020-02-01T06:00:00.0000000Z,wind_speed,1.8794583102734939
2020-02-01T09:00:00.0000000Z,wind_speed,2.111402189559039
2020-02-01T12:00:00.0000000Z,wind_speed,1.307788574675217
2020-02-01T15:00:00.0000000Z,wind_speed,1.5269438393739827
2020-02-01T18:00:00.0000000Z,wind_speed,1.9007921543465534
2020-02-01T21:00:00.0000000Z,wind_speed,2.2542355697094987
2020-02-02T00:00:00.0000000Z,wind_speed,3.231512569298555
2020-02-02T03:00:00.0000000Z,wind_speed,4.133349280153718
2020-02-02T06:00:00.0000000Z,wind_speed,4.848170885307409
2020-02-02T09:00:00.0000000Z,wind_speed,5.853726716620871
2020-02-02T12:00:00.0000000Z,wind_speed,5.905938740513438
2020-02-02T15:00:00.0000000Z,wind_speed,6.253116681631346
2020-02-02T18:00:00.0000000Z,wind_speed,6.656467695932449
2020-02-02T21:00:00.0000000Z,wind_speed,7.375363183243372
2020-02-03T00:00:00.0000000Z,wind_speed,8.150691174306015
2020-02-03T03:00:00.0000000Z,wind_speed,7.215128525328886
2020-02-03T06:00:00.0000000Z,wind_speed,5.79948007630727
2020-02-03T09:00:00.0000000Z,wind_speed,4.036721757192865
2020-02-03T12:00:00.0000000Z,wind_speed,3.329633555909551
2020-02-03T15:00:00.0000000Z,wind_speed,4.835459004843561
2020-02-03T18:00:00.0000000Z,wind_speed,5.231506812189999
2020-02-03T21:00:00.0000000Z,wind_speed,6.194900754674861
2020-02-04T00:00:00.0000000Z,wind_speed,6.49951326777895
2020-02-04T03:00:00.0000000Z,wind_speed,5.505585835851665
2020-02-04T06:00:00.0000000Z,wind_speed,4.432184511455144
2020-02-04T09:00:00.0000000Z,wind_speed,4.178384641830824
2020-02-04T12:00:00.0000000Z,wind_speed,3.081853641860659
2020-02-04T15:00:00.0000000Z,wind_speed,4.651949993309081
